Reading Date,One Day Total kWh,Status,Substitute Date,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,00:00
2021-02-09,2675.13,FIXS,,76.294,58.265,47.052,52.548,69.588,51.889,52.658,55.297,44.303,79.262,50.789,55.187,49.47,47.931,77.064,45.952,63.432,43.424,78.603,55.736,54.307,46.062,51.229,50.24,66.95,58.815,41.995,53.208,57.715,75.415,48.591,51.119,52.438,48.261,51.339,78.823,56.176,58.595,58.045,50.24,70.358,50.57,46.942,49.69,55.956,72.007,32.65,32.65
2021-02-10,2698.504,ORIG,,61.563,80.801,53.208,52.988,53.648,66.73,50.35,56.396,49.14,54.967,74.315,55.956,47.394,52.905,66.682,58.085,49.929,56.321,79.357,102.062,58.415,42.765,43.867,50.259,55.77,59.407,46.402,49.488,54.999,57.313,54.448,64.257,52.353,52.464,52.905,45.189,53.897,69.768,51.362,50.7,44.638,51.472,66.792,51.251,57.864,57.203,42.875,37.584
2021-02-11,2725.136,ORIG,,62.494,54.337,81.231,52.794,52.574,59.628,72.193,54.999,49.818,51.913,61.722,65.469,51.692,52.464,65.69,50.7,56.652,49.929,51.141,52.905,48.606,45.079,51.582,48.606,55.88,54.448,41.221,49.929,56.762,47.063,54.117,48.055,56.762,61.171,58.746,75.389,64.588,55.66,65.469,55.88,86.19,53.676,65.249,72.634,65.8,51.582,41.993,42.654
2021-02-12,2864.998,ORIG,,63.816,54.337,62.273,69.988,60.289,52.353,67.564,54.999,49.157,81.01,54.999,52.353,51.273,62.434,63.207,48.4,56.908,49.394,53.372,52.157,52.378,69.064,54.256,53.593,61.218,63.097,57.903,56.577,63.539,57.572,57.019,61.108,60.334,60.003,60.555,59.892,72.6,58.456,60.113,55.693,81.771,58.124,60.224,64.975,76.467,52.93,43.538,71.716
2021-02-13,2686.539,ORIG,,61.992,47.516,80.114,47.847,55.03,60.113,64.423,55.251,45.416,80.556,52.488,47.737,82.425,56.058,51.072,76.664,51.515,60.046,58.717,54.839,66.25,49.854,43.65,54.396,53.177,45.533,54.728,51.959,58.495,55.171,63.591,61.708,60.822,58.495,41.988,69.241,41.102,63.702,42.653,57.055,67.247,50.186,48.303,49.743,69.463,53.62,31.906,32.682
2021-02-14,2476.482,ORIG,,64.699,71.679,55.947,58.495,49.078,49.632,75.556,47.084,54.728,56.501,66.804,48.967,49.173,44.201,74.036,46.632,52.82,58.014,50.168,48.4,57.24,48.731,60.666,39.339,55.803,43.427,48.4,46.3,46.632,39.118,47.626,58.235,56.024,53.262,56.466,53.151,58.566,40.886,41.217,47.074,51.162,46.963,58.566,50.389,43.538,47.626,27.736,29.725
2021-02-15,2005.353,ORIG,,54.588,51.383,71.384,53.151,44.09,46.411,49.505,42.764,47.184,40.775,49.505,44.311,41.988,36.892,55.504,41.988,52.734,45.422,47.638,38.11,44.758,48.303,32.35,37.113,50.297,31.02,37.224,42.209,33.457,36.005,35.119,42.763,39.661,25.37,48.413,45.422,51.405,46.087,37.556,32.682,37.778,31.574,45.865,29.801,35.784,31.352,19.941,20.717
2021-02-16,1892.95,ORIG,,52.291,46.862,44.647,38.11,44.314,41.988,32.793,35.673,34.122,49.189,45.201,42.542,32.514,34.388,36.592,48.716,40.23,44.969,38.907,45.961,44.418,28.767,42.765,48.937,34.608,37.805,44.087,41.993,34.168,33.286,48.055,38.135,30.971,44.418,30.53,39.458,33.947,39.678,40.119,35.27,47.173,34.829,44.197,31.743,45.52,44.969,21.492,21.603
2021-02-17,1926.495,ORIG,,54.117,50.37,52.243,51.802,48.275,46.402,33.616,43.536,27.003,43.205,43.205,42.544,36.041,37.364,35.159,43.536,35.159,38.246,34.608,50.48,36.482,42.324,32.514,47.614,33.616,36.923,33.176,44.748,53.235,29.098,41.773,37.143,45.52,35.27,37.033,36.372,35.6,34.498,33.727,37.364,41.332,28.106,53.456,41.221,48.165,34.498,35.931,32.845
2021-02-18,1962.934,ORIG,,34.719,43.867,31.963,39.348,48.716,49.818,37.584,44.308,40.67,36.262,47.945,55.55,52.18,41.323,40.769,36.559,28.694,47.638,38.0,31.685,31.242,38.11,41.434,44.979,36.781,46.087,32.35,41.434,38.886,38.886,48.303,28.472,57.055,48.524,43.539,40.437,35.562,45.201,37.113,47.749,34.344,50.629,40.88,43.428,36.227,48.635,33.457,25.592
2021-02-19,2259.1,ORIG,,55.393,45.533,59.603,31.796,57.276,41.766,39.44,45.644,43.982,46.309,55.615,50.851,41.662,56.101,39.238,38.797,36.151,38.797,48.496,38.797,42.103,34.829,32.404,44.748,36.592,39.899,0.11,1.874,0.0,1.874,51.362,144.936,122.342,108.454,99.417,79.136,47.173,47.173,43.646,49.708,39.238,42.875,49.267,43.756,45.961,49.378,24.027,25.571
2021-02-20,3307.086,ORIG,,60.179,53.015,111.54,101.07,103.274,83.325,91.26,79.026,75.83,79.577,92.583,77.924,83.435,78.696,75.72,86.521,88.395,92.914,88.285,88.395,69.768,69.547,65.469,65.8,88.505,71.862,65.359,85.639,72.634,72.082,68.556,73.295,64.477,79.467,70.98,76.161,46.512,34.498,47.504,35.049,51.141,32.955,41.332,37.143,38.907,44.748,18.406,28.326
2021-02-21,3245.114,ORIG,,53.566,53.786,102.943,90.158,109.777,80.459,82.774,72.303,89.166,70.319,86.301,68.996,76.156,71.206,90.217,74.131,73.569,88.755,70.981,75.819,82.905,75.031,74.469,71.769,69.744,77.281,68.732,79.418,60.52,68.394,71.994,71.094,73.119,72.669,64.345,79.418,41.284,54.22,28.235,54.895,56.133,47.583,50.958,53.32,31.497,30.485,25.76,28.46
