Reading Date,One Day Total kWh,Status,Substitute Date,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,00:00
2021-02-09,0.0,FIXS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-10,0.0,ORIG,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-11,0.0,ORIG,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-12,367.804,ORIG,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.539,23.265,23.265,23.265,22.157,22.157,22.157,21.049,21.049,21.049,21.049,19.941,21.049,19.941,19.941,21.049,19.941,19.941
2021-02-13,902.914999999999,ORIG,,19.941,19.941,18.834,19.941,19.941,18.834,19.941,18.834,19.941,18.834,18.834,19.941,18.834,18.834,19.941,18.834,18.834,18.834,19.941,18.834,18.834,18.834,18.834,18.834,17.726,18.834,18.834,18.834,18.834,18.834,18.834,17.726,18.834,18.834,17.726,18.834,17.726,18.834,17.726,18.834,17.726,18.834,17.726,18.834,17.726,18.834,17.726,17.726
2021-02-14,849.13,ORIG,,18.834,17.726,17.726,18.834,17.726,17.726,18.834,17.726,17.726,17.726,18.834,17.726,17.771,17.771,17.771,18.882,17.771,17.771,17.771,17.771,17.771,17.771,17.771,17.771,17.771,16.661,17.771,17.771,17.771,17.771,17.771,16.661,17.771,17.771,17.771,16.661,17.771,17.771,17.771,16.661,17.771,17.771,16.661,15.55,17.771,17.771,17.771,16.661
2021-02-15,1156.015,ORIG,,15.55,17.771,14.439,17.771,17.771,14.439,17.771,15.55,17.771,15.55,16.661,16.661,16.618,23.265,29.912,29.912,29.912,27.697,27.697,27.697,27.697,26.589,26.589,27.697,26.589,26.589,26.589,26.589,26.589,27.697,26.589,26.589,26.589,26.589,25.481,26.589,26.589,26.589,26.589,26.589,26.589,25.481,26.589,26.589,26.589,26.589,26.589,26.589
2021-02-16,1251.896,ORIG,,26.589,26.589,26.589,26.589,26.589,26.589,26.589,25.481,26.589,26.589,26.589,26.589,26.589,25.481,26.589,26.589,25.481,26.589,26.589,25.481,26.589,25.481,26.589,25.481,25.481,26.589,25.481,25.481,26.589,25.481,26.589,25.481,26.589,25.481,25.481,26.589,25.481,25.481,26.589,25.481,25.481,26.589,25.481,25.481,25.481,26.589,25.481,25.481
2021-02-17,1215.332,ORIG,,25.481,25.481,25.481,26.589,25.481,25.481,25.481,25.481,25.481,24.373,26.589,24.373,25.481,25.481,25.481,25.481,25.481,25.481,25.481,25.481,25.481,25.481,25.481,25.481,25.481,24.373,25.481,25.481,25.481,25.481,24.373,25.481,25.481,25.481,24.373,25.481,25.481,24.373,25.481,25.481,24.373,25.481,24.373,25.481,25.481,25.481,24.373,25.481
2021-02-18,1188.74,ORIG,,25.481,24.373,25.481,25.481,24.373,25.481,25.481,24.373,25.481,25.481,24.373,25.481,24.373,25.481,25.481,24.373,25.481,24.373,25.481,24.373,25.481,24.373,25.481,24.373,24.373,25.481,24.373,24.373,24.373,25.481,24.373,24.373,24.373,24.373,24.373,24.373,24.373,25.481,24.373,24.373,24.373,24.373,24.373,24.373,24.373,24.373,24.373,24.373
