Reading Date,One Day Total kWh,Status,Substitute Date,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,00:00
2021-02-09,3131.283,FIXS,,63.148,66.472,62.04,64.256,68.687,64.256,68.687,58.717,67.579,64.256,67.579,66.472,66.642,64.421,63.31,68.863,61.089,74.417,64.421,67.753,59.978,6.664,57.756,88.856,72.196,64.421,69.974,68.863,66.642,71.085,61.089,65.531,65.531,72.196,63.31,72.196,63.31,72.196,63.31,64.421,68.863,64.421,65.531,67.753,67.753,65.531,63.31,65.531
2021-02-10,3127.733,ORIG,,67.753,66.642,62.199,66.642,66.642,68.863,62.199,68.863,62.199,68.863,66.642,67.753,62.199,67.753,65.531,64.421,63.31,69.974,66.642,63.31,64.421,65.531,63.31,58.867,67.753,66.642,67.753,62.199,67.753,64.421,59.978,65.531,61.089,65.531,64.421,69.974,58.867,67.753,66.642,62.199,67.753,61.089,62.199,65.531,67.753,67.753,64.421,62.199
2021-02-11,3134.392,ORIG,,68.863,57.756,68.863,63.31,71.085,62.199,65.531,63.31,63.31,68.863,65.531,66.642,58.867,69.974,62.199,68.863,66.642,62.199,71.085,56.646,68.863,59.978,71.085,66.642,62.199,67.753,61.089,62.199,65.531,66.642,64.421,69.974,61.089,68.863,64.421,59.978,68.863,61.089,64.421,65.531,68.863,62.199,68.863,62.199,62.199,68.863,65.531,73.306
2021-02-12,3116.198,ORIG,,58.867,67.753,59.978,68.863,63.31,72.196,61.089,68.863,58.867,67.753,66.642,69.974,63.148,64.256,62.04,68.687,60.932,69.795,63.148,70.903,56.501,70.903,62.04,66.472,66.472,62.04,65.364,60.932,65.364,67.579,64.256,70.903,59.824,69.795,60.932,62.04,65.364,67.579,59.824,66.472,68.687,64.256,64.256,60.932,70.903,62.04,68.687,58.717
2021-02-13,3135.242,ORIG,,65.364,66.472,70.903,64.256,65.364,64.256,59.824,70.903,64.256,66.472,65.364,67.579,69.795,57.609,70.903,59.824,70.903,63.148,68.687,66.472,62.04,67.579,60.932,68.687,63.148,68.687,59.824,69.795,59.824,63.148,65.364,66.472,72.011,60.932,65.364,58.717,70.903,59.824,65.364,64.256,67.579,62.04,72.011,58.717,67.579,62.04,65.364,68.687
2021-02-14,3091.314,ORIG,,62.04,64.256,65.364,64.256,63.148,64.256,67.579,66.472,60.932,63.148,68.687,64.256,67.753,58.867,68.863,61.089,69.974,61.089,71.085,57.756,68.863,58.867,67.753,62.199,67.753,63.31,69.974,61.089,64.421,59.978,65.531,65.531,62.199,68.863,61.089,68.863,57.756,68.863,57.756,66.642,61.089,73.306,57.756,66.642,63.31,61.089,59.978,69.974
2021-02-15,755.278,ORIG,,58.867,69.974,59.978,66.642,59.978,61.089,63.31,64.421,62.199,67.753,59.978,61.089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-16,2161.436,ORIG,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.04,58.717,59.824,64.256,57.609,65.364,60.932,63.148,57.609,64.256,57.609,57.609,58.717,62.04,54.285,60.932,59.824,60.932,63.148,56.501,58.717,55.393,64.256,59.824,59.824,57.609,62.04,58.717,67.579,57.609,57.609,55.393,62.04,58.717,62.04,58.717
2021-02-17,2852.738,ORIG,,59.824,59.824,59.824,59.824,58.717,65.364,56.501,60.932,57.609,64.256,56.501,60.932,56.501,63.148,56.501,62.04,60.932,58.717,57.609,62.04,60.932,62.04,57.609,58.717,54.285,62.04,60.932,60.932,56.501,60.932,54.285,64.256,55.393,57.609,58.717,57.609,60.932,57.609,60.932,59.824,59.824,55.393,62.04,56.501,63.148,56.501,60.932,58.717
2021-02-18,2323.183,ORIG,,58.717,59.824,62.04,57.609,60.932,57.609,58.717,63.148,56.501,63.148,57.609,59.824,57.609,60.932,56.501,63.148,57.609,59.824,59.824,60.932,59.824,59.824,23.265,28.804,60.932,48.746,57.609,52.069,68.687,56.501,55.393,50.962,64.256,48.746,53.177,57.609,53.177,55.393,55.393,36.559,9.971,9.971,11.079,8.863,11.079,11.079,11.079,11.079
2021-02-19,1462.201,ORIG,,12.186,11.079,11.079,12.186,12.186,13.294,11.079,12.186,11.079,12.186,11.079,101.923,47.76,43.317,108.849,91.077,78.86,61.089,52.203,45.539,51.092,45.539,49.982,44.428,48.871,44.428,48.871,43.317,47.76,43.317,47.76,18.882,8.886,8.886,8.886,9.996,8.886,12.218,8.886,11.107,12.218,9.996,9.996,12.218,12.218,11.107,12.218,9.996
2021-02-20,1412.017,ORIG,,11.107,12.218,12.218,11.107,12.218,12.218,12.218,11.107,12.218,12.218,12.218,103.295,45.422,36.559,115.217,86.413,74.227,59.824,49.854,45.422,47.638,44.314,43.207,46.53,42.099,46.53,42.099,44.314,40.991,44.314,38.775,17.726,8.863,8.863,8.863,11.079,8.863,11.079,9.971,11.079,8.863,12.186,11.079,11.079,9.971,12.186,11.079,11.079
2021-02-21,2026.277,ORIG,,11.079,11.079,9.971,12.186,11.079,9.971,9.971,12.186,99.707,40.991,32.128,38.775,98.6,75.334,70.903,69.795,57.609,64.256,62.04,59.824,54.285,62.04,58.717,50.962,63.148,55.393,54.285,57.609,55.393,55.393,60.932,47.638,60.932,56.501,48.746,59.824,54.285,54.285,57.609,31.02,8.863,7.755,8.863,7.755,8.863,8.863,7.755,11.079
2021-02-22,1903.055,ORIG,,8.863,7.755,11.079,8.863,8.863,9.971,8.863,9.971,97.492,33.236,29.912,33.236,103.295,75.528,52.203,59.978,58.867,63.31,52.203,56.646,51.092,58.867,57.756,52.203,53.314,51.092,58.867,54.424,51.092,48.871,51.092,52.203,57.756,48.871,48.871,51.092,52.203,56.646,46.649,32.21,7.775,9.996,8.886,8.886,11.107,11.107,8.886,11.107
2021-02-23,1885.251,ORIG,,11.107,11.107,11.107,9.996,11.107,12.218,11.107,9.996,101.074,42.207,33.321,39.985,95.276,70.903,48.746,68.687,52.069,58.717,57.609,53.177,50.962,58.717,48.746,50.962,48.746,56.501,52.069,48.746,48.746,48.746,55.393,52.069,46.53,50.962,46.53,54.285,53.177,49.854,46.53,31.02,7.755,9.971,9.971,8.863,11.079,8.863,11.079,8.863
2021-02-24,1425.819,ORIG,,11.079,11.079,9.971,11.079,11.079,12.186,8.863,12.186,98.6,34.344,31.02,36.559,94.168,73.119,67.579,70.903,55.393,63.148,59.824,55.393,48.746,43.207,49.854,49.854,43.207,13.294,9.971,9.971,11.079,8.863,12.186,11.079,15.51,99.707,27.697,8.863,8.863,11.079,11.079,9.971,11.079,12.186,11.079,12.186,12.186,11.079,12.186,12.186
2021-02-25,1237.475,ORIG,,12.186,12.186,14.402,11.079,12.186,12.186,14.402,12.186,12.186,15.51,12.186,90.845,85.305,64.256,54.285,53.177,33.236,11.079,11.079,12.186,11.079,14.402,12.186,12.186,14.402,12.186,48.746,55.393,29.912,15.51,80.874,73.119,55.393,59.824,23.265,11.079,11.079,11.079,11.079,12.186,11.079,14.402,12.186,14.402,12.186,14.402,13.294,14.402
2021-02-26,1072.403,ORIG,,14.402,13.294,13.294,15.51,14.402,15.51,14.402,14.402,13.294,14.402,15.51,101.923,43.207,24.373,93.06,76.442,66.472,63.148,23.265,12.186,12.186,11.079,12.186,14.402,12.186,14.402,14.402,14.402,13.294,15.51,15.51,14.402,15.51,15.51,15.51,15.51,14.402,14.402,15.51,15.51,15.51,15.51,15.51,14.402,15.51,15.51,16.618,15.51
2021-02-27,1110.189,ORIG,,15.51,14.402,15.51,15.51,14.402,15.51,16.618,16.618,14.402,15.51,15.51,101.923,52.905,48.496,109.116,72.744,56.211,54.007,22.044,12.124,11.022,11.022,14.328,12.124,14.328,12.124,14.328,14.328,15.431,14.328,14.328,14.328,15.431,15.431,15.431,16.533,15.431,15.431,14.328,15.431,15.431,16.533,16.533,14.328,15.431,15.431,15.431,16.533
2021-02-28,1480.23,ORIG,,15.431,15.431,15.431,14.328,15.431,15.431,16.533,16.533,101.4,52.905,45.189,44.087,103.605,92.583,72.744,76.05,22.044,9.92,11.022,11.022,12.124,13.226,12.124,12.124,13.226,14.328,98.094,38.576,33.065,36.372,85.97,78.255,66.131,23.146,9.92,11.022,11.022,12.124,11.022,14.328,11.022,14.328,12.124,14.328,13.226,13.226,15.431,13.226
2021-03-01,1484.634,ORIG,,13.226,15.431,14.328,14.328,13.226,14.328,15.431,14.328,102.503,50.7,44.087,45.189,103.605,94.787,79.357,73.846,28.657,9.92,12.124,11.022,11.022,13.226,13.226,13.226,13.226,14.328,13.226,13.226,15.431,15.431,166.429,90.379,79.357,50.7,17.635,9.92,12.124,12.124,12.124,14.328,13.226,13.226,14.328,14.328,15.431,14.328,14.328,14.328
2021-03-02,1485.289,ORIG,,15.431,16.533,15.431,15.431,15.431,15.431,14.328,16.533,105.809,50.7,44.087,47.394,101.662,68.511,68.511,74.036,24.31,11.05,11.05,11.05,13.26,12.155,12.155,14.365,12.155,14.365,102.767,43.096,37.571,38.676,90.612,69.616,67.406,32.046,11.05,12.155,12.155,12.155,11.05,13.26,13.26,14.365,12.155,14.365,13.26,14.365,14.365,14.365
2021-03-03,1520.501,ORIG,,13.26,14.365,14.365,15.47,14.365,13.26,14.365,14.365,101.662,53.041,47.516,41.991,86.192,78.456,72.931,69.616,38.676,11.05,9.945,13.26,12.155,12.155,14.365,12.155,14.365,12.155,104.977,43.096,36.466,37.571,87.297,75.141,78.456,60.776,22.1,11.05,11.05,11.05,11.05,12.155,11.05,13.26,13.26,12.155,14.365,12.155,14.365,12.155
2021-03-04,1521.605,ORIG,,15.47,12.155,14.365,14.365,13.26,14.365,14.365,13.26,101.662,51.936,47.516,24.31,93.927,76.246,68.511,69.616,37.571,12.155,12.155,12.155,14.365,12.155,14.365,15.47,12.155,14.365,102.767,45.306,39.781,46.411,106.082,68.511,68.511,60.776,22.1,11.05,11.05,11.05,12.155,11.05,12.155,12.155,13.26,12.155,14.365,12.155,14.365,12.155
2021-03-05,1102.799,ORIG,,14.365,12.155,14.365,14.365,13.26,14.365,14.365,13.26,13.26,15.47,14.365,100.557,59.671,45.306,100.557,71.826,74.036,69.616,25.415,11.05,11.05,11.05,13.26,12.155,11.05,14.365,12.155,14.365,13.26,14.365,13.26,14.365,14.365,15.47,13.26,14.365,14.365,15.47,14.365,15.47,15.47,14.365,13.26,15.47,14.365,15.47,15.47,15.47
2021-03-06,1159.225,ORIG,,14.365,15.47,15.47,15.47,15.47,14.365,15.47,15.47,15.47,15.47,16.575,101.662,70.903,47.638,108.57,91.952,86.413,75.334,25.481,9.971,11.079,11.079,12.186,11.079,11.079,12.186,14.402,12.186,12.186,14.402,12.186,14.402,12.186,14.402,12.186,14.402,14.402,13.294,14.402,12.186,15.51,14.402,13.294,14.402,14.402,15.51,14.402,14.402
2021-03-07,1721.61,ORIG,,15.51,15.51,14.402,15.51,14.402,15.51,14.402,15.51,101.923,77.55,44.314,46.53,114.11,101.923,78.658,80.874,45.422,15.51,12.186,13.294,13.294,14.402,14.402,15.51,14.402,13.294,103.031,50.962,43.207,45.422,110.786,91.952,79.766,50.962,12.186,13.294,13.294,14.402,13.294,14.402,15.51,14.402,15.51,15.51,15.51,16.618,16.618,16.618
2021-03-08,954.975,ORIG,,15.51,15.51,15.51,16.618,15.51,17.726,16.618,15.51,103.031,74.227,47.638,47.638,105.247,101.923,93.06,79.766,29.912,11.079,11.079,12.186,11.079,12.186,14.402,12.186,14.402,13.294,14.402,14.402,3.324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-09,2864.212,ORIG,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.128,78.658,43.317,154.387,113.291,106.627,89.967,85.524,83.303,78.86,78.86,83.303,77.749,73.306,79.97,66.642,79.97,73.306,73.306,73.306,72.196,69.974,74.417,67.753,77.749,59.978,75.528,68.863,66.642,65.531,67.753,66.642,68.863,63.31,69.974,64.421,67.753,71.085
2021-03-10,3194.377,ORIG,,65.531,67.753,66.642,67.753,65.531,62.199,64.421,64.421,66.642,67.753,64.421,65.531,66.642,62.199,64.421,66.642,64.421,69.974,72.196,62.199,68.863,66.642,73.306,71.085,64.421,73.306,71.085,68.863,78.86,63.31,72.196,61.089,75.528,65.531,65.531,71.085,63.31,72.196,62.199,72.196,58.867,65.531,64.421,58.867,66.642,58.867,64.421,58.867
2021-03-11,3003.141,ORIG,,69.974,58.867,64.421,63.31,64.421,65.531,63.31,61.089,66.642,61.089,62.199,59.978,65.364,60.932,65.364,66.472,64.256,66.472,64.256,66.472,56.501,67.579,63.148,62.04,69.795,56.501,66.472,64.256,60.932,63.148,59.824,64.256,66.472,60.932,63.148,58.717,62.04,57.609,63.148,57.609,62.04,57.609,60.932,57.609,60.932,57.609,62.04,59.824
2021-03-12,2950.23,ORIG,,62.04,58.717,60.932,58.717,60.932,60.932,60.932,62.04,56.501,60.932,60.932,63.148,57.609,64.256,57.609,64.256,63.148,58.717,67.579,64.256,62.04,68.687,63.148,62.04,66.472,60.932,63.148,57.609,66.472,63.148,62.04,64.256,60.932,67.579,53.177,62.04,59.824,62.04,58.717,63.148,57.609,62.04,57.609,62.04,58.717,63.148,55.393,62.04
2021-03-13,2883.762,ORIG,,58.717,65.364,55.393,63.148,60.932,57.609,58.717,63.148,57.609,62.04,57.609,63.148,57.609,63.148,57.609,63.148,58.717,62.04,57.609,62.04,58.717,60.932,60.932,62.04,62.04,58.717,60.932,57.609,64.256,57.609,62.04,53.177,63.148,57.609,62.04,57.609,62.04,56.501,64.256,59.824,62.04,57.609,62.04,57.609,56.501,62.04,60.932,57.609
2021-03-14,2828.227,ORIG,,63.148,59.824,63.148,54.285,63.148,58.717,62.04,56.501,60.932,56.501,60.932,57.609,61.089,58.867,58.867,58.867,59.978,58.867,58.867,61.089,57.756,58.867,54.424,65.531,56.646,62.199,55.535,62.199,55.535,61.089,56.646,62.199,55.535,59.978,56.646,61.089,56.646,58.867,56.646,58.867,57.756,57.756,58.867,55.535,61.089,55.535,61.089,54.424
2021-03-15,2833.48,ORIG,,59.978,56.646,59.978,55.535,61.089,56.646,63.31,56.646,59.978,56.646,58.867,54.424,58.717,58.717,60.932,56.501,63.148,63.148,59.824,57.609,59.824,64.256,59.824,60.932,57.609,64.256,60.932,59.824,64.256,57.609,62.04,56.501,62.04,57.609,59.824,59.824,57.609,55.393,58.717,55.393,58.717,55.393,60.932,54.285,60.932,55.393,63.148,52.069
2021-03-16,2813.962,ORIG,,59.824,56.501,59.824,54.285,58.717,56.501,57.609,62.04,54.285,57.609,54.285,60.932,55.393,59.824,55.393,64.256,62.04,62.04,57.609,62.04,60.932,56.501,62.04,58.717,56.501,63.148,57.609,65.364,55.393,59.824,60.932,56.501,64.256,55.393,59.824,55.393,60.932,53.177,59.824,55.393,63.148,55.393,59.824,56.501,59.824,54.285,57.609,58.717
2021-03-17,2869.358,ORIG,,57.609,59.824,56.501,62.04,55.393,58.717,54.285,59.824,58.717,60.932,53.177,60.932,56.501,59.824,58.717,62.04,57.609,65.364,63.148,59.824,66.472,57.609,65.364,59.824,66.472,66.472,57.609,65.364,62.04,59.824,58.717,56.501,63.148,59.824,64.256,59.824,58.717,56.501,59.824,56.501,62.04,54.285,60.932,55.393,58.717,57.609,58.717,59.824
2021-03-18,2887.082,ORIG,,57.609,63.148,57.609,60.932,55.393,60.932,56.501,60.932,60.932,58.717,56.501,62.04,58.717,63.148,52.069,66.472,63.148,62.04,60.932,65.364,63.148,57.609,65.364,60.932,63.148,67.579,55.393,69.795,63.148,63.148,64.256,54.285,63.148,60.932,57.609,62.04,57.609,60.932,59.824,59.824,55.393,57.609,57.609,55.393,57.609,55.393,59.824,55.393
2021-03-19,2833.904,ORIG,,62.04,55.393,64.256,57.609,59.824,54.285,63.148,57.609,60.932,54.285,59.824,56.501,59.824,59.824,63.148,58.717,59.824,59.824,62.04,59.824,57.609,63.148,60.932,56.501,60.932,53.177,66.472,59.824,59.824,63.148,56.501,60.932,58.717,56.501,65.364,53.177,58.717,57.609,58.717,54.285,59.824,52.069,56.501,57.609,58.717,58.717,55.393,64.256
2021-03-20,2719.796,ORIG,,52.069,59.824,56.501,58.717,55.393,60.932,55.393,62.04,52.069,60.932,53.177,62.04,58.717,57.609,54.285,60.932,55.393,58.717,56.501,59.824,53.177,58.717,56.501,54.285,58.717,57.609,59.824,54.285,59.824,59.824,55.393,54.285,57.609,49.854,58.717,55.393,53.177,55.393,54.285,56.501,54.285,58.717,54.285,57.609,50.962,63.148,48.746,57.609
2021-03-21,2665.512,ORIG,,57.609,53.177,56.501,55.393,56.501,50.962,57.609,55.393,56.501,55.393,59.824,56.501,56.501,54.285,62.04,49.854,57.609,57.609,50.962,57.609,54.285,54.285,53.177,59.824,49.854,58.717,54.285,54.285,55.393,55.393,54.285,54.285,58.717,53.177,54.285,54.285,58.717,50.962,59.824,56.501,52.069,57.609,54.285,54.285,54.285,59.824,52.069,58.717
2021-03-22,2718.383,ORIG,,54.285,62.04,50.962,59.824,54.285,59.824,49.854,58.717,57.609,52.069,54.285,57.609,62.199,57.756,54.424,57.756,55.535,62.199,53.314,59.978,58.867,55.535,56.646,57.756,61.089,52.203,57.756,63.31,55.535,56.646,55.535,59.978,53.314,58.867,52.203,56.646,57.756,55.535,56.646,53.314,54.424,57.756,54.424,59.978,54.424,56.646,53.314,57.756
2021-03-23,2756.76,ORIG,,59.978,51.092,56.646,56.646,54.424,56.646,56.646,58.867,56.646,55.535,64.421,52.203,58.867,56.646,63.31,58.867,62.199,53.314,62.199,57.756,59.978,61.089,57.756,62.199,55.535,58.867,59.978,62.199,62.199,53.314,57.756,55.535,59.978,59.978,55.535,58.867,54.424,52.203,59.978,53.314,55.535,56.646,56.646,49.982,58.867,54.424,57.756,53.314
2021-03-24,2709.002,ORIG,,53.314,59.978,53.314,58.867,48.871,58.867,55.535,59.978,53.314,59.978,54.424,58.867,49.982,56.646,55.535,66.642,54.424,61.089,61.089,58.867,57.756,55.535,56.646,53.314,62.199,63.31,53.314,56.646,55.535,58.867,58.867,55.535,63.31,53.314,59.978,54.424,56.646,55.535,48.871,56.646,52.203,57.756,49.982,56.646,54.424,57.756,51.092,53.314
2021-03-25,2642.355,ORIG,,55.535,52.203,55.535,54.424,61.089,52.203,55.535,52.203,56.646,52.203,58.867,57.756,53.314,52.203,57.756,57.756,56.646,52.203,57.756,48.871,59.978,52.203,56.646,56.646,54.424,58.867,52.203,58.867,51.092,58.867,52.203,55.535,53.314,57.756,54.424,55.535,52.203,58.867,51.092,57.756,54.424,53.314,53.314,54.424,53.314,52.203,57.756,54.424
